Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments,
Europe,Northern Europe,NA,hom.27.2a4a5b6a7a-ce-k8,NA,Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a. 4.a. 5.b. 6.a. 7.a-c.e-k (the Northeast Atlantic),Trachurus trachurus,,https://standardgraphs.ices.dk/stockList.aspx,1982,2020,1982,2015,0.103,0.074,834480,1168272,NA,1168270,0.074,NA,Medium,0.305937,0.723638,0.3,0.5,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 1-10 ; type of abundance: SSB,
Europe,Northern Europe,NA,hom.27.9a,NA,Horse mackerel (Trachurus trachurus) in Division 9.a (Atlantic Iberian waters),Trachurus trachurus,,https://standardgraphs.ices.dk/stockList.aspx,1992,2020,1992,2016,0.19,0.11,103000,181000,NA,181000,0.11,NA,Medium,0.305937,0.723638,0.2,0.4,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,F-age: 2-10 ; type of abundance: SSB. RF OK,
North America,NAFO; NASCO; ICCAT,Gulf of Maine/Bay of Fundy,Homa_ame_Maine,"Lobsters, crabs",American lobster in Gulf of Maine/Bay of Fundy,Homarus americanus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.01,0.3,NA,NA,NA,0.1,0.5,CPUE,NA,F,RF OK 12/06/18. Medium resilience used to determine r-k pairs. CPUE recommended. RF OK,
North America,NAFO; NASCO; ICCAT,Virginian,Homa_ame_Virginian,"Lobsters, crabs",American lobster in Virginian,Homarus americanus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.01,0.3,NA,NA,NA,0.2,0.5,CPUE,NA,F,"Catch trend continous increase, note recruitment pulse via warming waters. note Virginian ME near to New England area where in 2012 stock collapsed due to disease (replacing intyear=1982 with 2012, endb=0.2-0.6 with NA). CPUE recommended. RF OK",
,ICCAT,NA,Isti_alb_EAtlantic,,Atlantic sailfish,Istiophorus albicans,,https://www.iccat.int/Documents/SCRS/ExecSum/SAI_ENG.pdf,1956,2014,1980,2014,NA,NA,NA,NA,NA,NA,1.59,NA,Medium,NA,NA,0.01,0.1,NA,NA,NA,0.03,0.2,CPUE,NA,F,"Stock distributed in FAO 27, 34, 47. Assessment declares ""stock overfished"". RF OK",
,ICCAT,NA,Isti_alb_WAtlantic,,Atlantic sailfish,Istiophorus albicans,,https://www.iccat.int/Documents/SCRS/ExecSum/SAI_ENG.pdf,1956,2014,1960,2009,NA,NA,NA,NA,NA,NA,1.57,NA,Medium,NA,NA,0.85,0.95,NA,NA,NA,0.03,0.3,CPUE,NA,F,"Stock distributed in FAO 21, 31, 41. Assessment declares ""stock not likely overfished"". RF OK",
North America,NAFO; NASCO; ICCAT,"Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland and Northern Grand Banks - Southern Labrador",Isur_oxy_CanadaEastCoast,Large sharks (>=90 cm),"Shortfin mako in Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland and Northern Grand Banks - Southern Labrador",Isurus oxyrinchus,,"Showell, M.A., et al. (2017) Current status and threats to the North Atlantic shortfin mako shark (Isurus oxyrinchus) population in Atlantic Canada. DFO Can. Sci. Advis. Sec. Res. Doc. 2017/039. v + 45 p.",1961,2018,1994,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.11,0.54,0.8,1,NA,NA,NA,0.1,0.5,CPUE,NA,F,RF OK,
,IOTC,NA,Kaji_aud_Indian,,Striped Marlin,Kajikia audax,,https://www.iotc.org/documents/stock-assessment-striped-marlin-kajikia-audax-indian-ocean-using-age-structured-integrated,1950,2014,1982,2010,NA,NA,NA,NA,NA,NA,0.73,NA,Low,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,CPUE,NA,F,SSBMSY used as a proxy for BMSY. Period assessed was 2014. ,
,WCPFC,NA,Kaji_aud_WCSWPacific,,Striped marlin,Kajikia audax,,https://www.wcpfc.int/node/42933,1952,2017,1957,2017,NA,NA,NA,NA,NA,NA,0.259,NA,Medium,NA,NA,0.45,0.55,NA,NA,NA,NA,NA,CPUE,NA,F,"Stock distributed in FAO 71, 81. SSBMSY used as a proxy for BMSY. Catch extracted from figure 1",
Oceania,CCSBT; WCPFC,South New Zealand,Kath_gig_SNewZealand,Medium demersals (30 - 89 cm),Giant stargazer in South New Zealand,Kathetostoma giganteum,,"Kendrick, T.H. (2009) Updated catch-per-unit-effort indices for giant stargazer in STA 5, 1989�90 to 2006�07. New Zealand Fisheries Assessment Report 2009/35. 28 p.",1950,2018,1980,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.4,0.8,NA,NA,NA,0.2,0.6,CPUE,NA,F,Note that New Zealand catches are generalized across New Zealand and catch patterns displayed by marine ecoregion are not indicative of this location but of the overall catch trend of the EEZ. CPUE recommended. RF OK,
,WCPFC,NA,Kats_pel_WCPacific,,Skipjack tuna,Katsuwonus pelamis,,The 2019 stock assessment of skipjack tuna (Katsuwonus pelamis; SKJ) in the western and central Pacific Ocean https://www.wcpfc.int/node/42931 & summary report here: https://www.wcpfc.int/doc/annual-catch-estimates-excel-files,1972,2018,1988,2017,NA,NA,NA,NA,NA,NA,0.223,NA,Medium,NA,NA,0.7,0.8,NA,NA,NA,0.04,0.4,CPUE,NA,F,"SSBMSY used as a proxy for BMSY. Data was taken from Table 6: Summary of reference points over the 54 models with the 8 region model in the structural uncertainty grid. Mean values reported herein. F/Fmsy value consists of the Frecent/FMSY (i.e., Average fishing mortality-at-age for a recent period, 2014?2017, relative to FMSY). The BMSY column consists of SBmsy. The WCPFC adopted 20%SBF=0 as a limit reference point (LRP) for the skipjack stock where SBF=0 for this assessment is calculated as the average over the period 2008?2017. The recently adopted target reference point (TRP) for this stock is 50%SBF=0 where SBF=0 is again calculated over 2008?2017. Stock status was referenced against these points by calculating the reference points; SBrecent/SBF=0 and SBlatest/SBF=0 where SBF=0 is calculated over 2008?2017 and SBlatest and SBrecent are the estimated spawning potential in 2018, and the mean over 2015?2018, respectively. The other key reference point, Frecent/FMSY, is the estimated average fishing mortality at the full assessment area scale over a recent period of time (Frecent; 2014?2017 for this stock assessment) divided by the fishing mortality producing MSY which is a product of the yield analysis. RF OK",
North America,California Current,Oregon,Kelp greenling - Oregon,NA,Kelp greenling,Hexagrammos decagrammus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1915,2014,1980,2011,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.5,0.7,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,Gulf of Mexico,Gulf of Mexico,King mackerel - Gulf of Mexico,NA,King mackerel,Scomberomorus cavalla,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1929,2012,1950,2012,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.433651,0.98557,0.85,0.95,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS3. RF OK,
North America,Southeast Shelf,Southern Atlantic Coast,King mackerel - Southern Atlantic Coast,NA,King mackerel,Scomberomorus cavalla,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1929,2012,1950,2012,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.433651,0.98557,0.85,0.95,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,NAFO; NASCO; ICCAT,"Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland and Northern Grand Banks - Southern Labrador",Lamn_nas_CanadaEastCoast,Large sharks (>=90 cm),"Porbeagle in Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland and Northern Grand Banks - Southern Labrador",Lamna nasus,,DFO (2001) Porbeagle shark in NAFO subareas 3-6. DFO Sci. Stock Status Rept. B3-09 (2001). 9 p.,1961,2018,1961,2018,NA,NA,NA,NA,NA,NA,NA,NA,Very low,0.03,0.08,0.5,0.9,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
Asia,WCPFC,Gulf of Tonkin and Southern China,Lari_cro_TonkinSChina,Medium benthopelagics (30 - 89 cm),Large yellow croaker in Gulf of Tonkin and Southern China,Larimichthys crocea,,"Cheung, W., and Pitcher, T. (2008) Evaluating the status of exploited taxa in the northern South China Sea using intrinsic vulnerability and spatially explicit catch-per-unit-effort data. Fisheries Research: 92(1):28-40.",1950,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.2,0.45,0.2,0.6,NA,NA,NA,0.01,0.3,CPUE,NA,F,Check start year biomass. RF OK,
Oceania,CCSBT; IOTC; WCPFC,"Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Late_cal_ArnhemBonaparteExmouth,Large demersals (>=90 cm),"Barramundi in Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Lates calcarifer,,"NTG (2016) Status of Key Northern Territory Fish Stocks Report 2015. Northern Territory Government, Australia. Fishery Report No. 118.",1950,2018,1980,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.38,0.87,0.1,0.5,NA,NA,NA,0.2,0.6,CPUE,2,F,Set start biomass to 0.8-1. Set interbio to 1993 at 0.3-0.7. RF OK,
Oceania,WCPFC,"Central and Southern Great Barrier Reef, Coral Sea and Torres Strait Northern Great Barrier Reef",Late_cal_GBRCoralSea,Large demersals (>=90 cm),"Barramundi in Central and Southern Great Barrier Reef, Coral Sea and Torres Strait Northern Great Barrier Reef",Lates calcarifer,,"QG (2011) Stock status of Queensland�s fisheries resources 2011. Queensland Government, Department of Employment, Economic Development and Innovation (DEEDI).",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.38,0.87,0.7,1,NA,NA,NA,0.1,0.5,CPUE,2,F,RF OK,
Australia,Indo-Pacific,Australia,late_cal_kg,Demersal,Barramundi,Lates calcarifer,,FishBase,1990,2017,1990,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.38,0.87,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,,
Europe,Northern Europe,NA,ldb.27.8c9a,NA,Four-spot megrim (Lepidorhombus boscii) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters East),Lepidorhombus boscii,,https://standardgraphs.ices.dk/stockList.aspx,1986,2020,1987,2017,0.57,0.41,3300,4600,NA,4600,0.193,NA,Medium,0.226805,0.515465,0.35,0.45,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: SSB,
North America,IPHC; NPAFC,Gulf of Alaska,Lepi_bil_GOA,Small to medium flatfishes (<90 cm),Rock sole in Gulf of Alaska,Lepidopsetta bilineata,,"Bryan, M.D. (2017) 4.1 Assessment of Northern and Southern rock sole (Lepidopsetta polyxstra and bilineta) stocks in the Gulf of Alaska. pp. 555-648. In: Plan Team for the Groundfish Fisheries of the Gulf of Alaska (compiler). Stock assessment and fishery evaluation report for the groundfish resources of the Gulf of Alaska. North Pacific Fishery Management Council. 605 W. 4th Avenue Suite 306, Anchorage, AK 99501.",1959,2018,1959,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.17,0.45,0.8,1,NA,NA,NA,0.2,0.5,CPUE,NA,F,CPUE data represents abundance estimates from trawl surveys. RF OK,
Oceania,WCPFC,"Central and Southern Great Barrier Reef, Coral Sea and Torres Strait Northern Great Barrier Reef",Leth_min_GBRCoralSea,Medium reef assoc. fish (30 - 89 cm),"Trumpet emperor in Central and Southern Great Barrier Reef, Coral Sea and Torres Strait Northern Great Barrier Reef",Lethrinus miniatus,,"QG (2011) Stock status of Queensland�s fisheries resources 2011. Queensland Government, Department of Employment, Economic Development and Innovation (DEEDI).",1950,2018,1999,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.2,0.5,NA,NA,NA,0.03,0.3,CPUE,2,F,Check interpolated catch pattern and catch after mid 2000s. CPUE recommended. Changed stb.low to 0.6. RF OK,
Europe,Northern Europe,NA,lez.27.4a6a,NA,Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea. West of Scotland),Lepidorhombus,,https://standardgraphs.ices.dk/stockList.aspx,1985,2020,1986,2019,NA,NA,0.3,0.5,NA,0.5,1,NA,Medium,0.226805,0.515465,0.55,0.65,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,F-age:  ; type of abundance: B/Bmsy. RF OK,
Europe,Northern Europe,NA,lez.27.6b,NA,Megrim (Lepidorhombus spp.) in Division 6.b (Rockall),Lepidorhombus,,https://standardgraphs.ices.dk/stockList.aspx,1991,2019,2005,2019,NA,NA,NA,NA,NA,NA,1,NA,Medium,0.226805,0.515465,0.01,0.1,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: B_index,
North America,IPHC; NPAFC,Gulf of Alaska,Lima_asp_GOA,Small to medium flatfishes (<90 cm),Yellowfin sole in Gulf of Alaska,Limanda aspera,,"Turnock, B.J., et al. (2015) 4. Assessment of the shallow-water flatfish stock complex in the Gulf of Alaska. pp. 415-450. In: Plan Team for the Groundfish Fisheries of the Gulf of Alaska (compiler). Stock assessment and fishery evaluation report for the groundfish resources of the Gulf of Alaska. North Pacific Fishery Management Council, 605 W. 4th Avenue Suite 306, Anchorage, AK 99501.",1959,2018,1959,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.22,0.5,0.8,1,NA,NA,NA,0.1,0.5,CPUE,NA,F,CPUE data represents abundance estimates from trawl surveys. q range extended from 1995 to 2013 to account for variability. End window set to 0.2-0.6 to match relative biomass data. Set int b range. RF OK,
North America,California Current,Northern Pacific Coast,Lingcod - Northern Pacific Coast,NA,Lingcod,Ophiodon elongatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1889,2018,1950,2000,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.319654,0.726487,0.8,0.9,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Southern Pacific Coast,Lingcod - Southern Pacific Coast,NA,Lingcod,Ophiodon elongatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1889,2018,1950,2010,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.319654,0.726487,0.75,0.85,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,ICCAT,Floridian,Lito_set_Floridian,Shrimps,Northern white shrimp in Floridian,Litopenaeus setiferus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1978,2018,1985,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.2,0.6,NA,NA,NA,0.1,0.5,CPUE,NA,F,Assumed Medium resilience. Start year is 1978. RF OK,
North America,Northeast Shelf,Georges Bank / Southern New England,Little skate - Georges Bank / Southern New England,NA,Little skate,Leucoraja erinacea,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1968,2018,1984,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Index Method,
North America,Northeast Shelf,Georges Bank / Cape Hatteras,Longfin inshore squid - Georges Bank / Cape Hatteras,NA,Longfin inshore squid,Loligo pealeii,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1963,2016,1978,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.3,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Index Method,
North America,California Current,Pacific Coast,Longnose skate - Pacific Coast,NA,Longnose skate,Raja rhina,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.6,0.8,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Pacific Coast,Longspine thornyhead - Pacific Coast,NA,Longspine thornyhead,Sebastolobus altivelis,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1964,2018,1964,2010,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.0392222,0.0891414,0.8,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,NAFO; NASCO; ICCAT,Southern Grand Banks - South Newfoundland,Loph_ame_SGrandBanks,Large demersals (>=90 cm),American angler in Southern Grand Banks - South Newfoundland,Lophius americanus,,DFO (2018) Stock assessment of Monkfish in NAFO Division 3LNO and Subdivision 3Ps. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2018/010. 14 p.,1965,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.3,0.7,NA,NA,NA,0.1,0.5,CPUE,NA,F,RF OK,
Africa,CCSBT; IOTC,Natal,Loph_vom_Natal,Medium demersals (30 - 89 cm),Devil anglerfish in Natal,Lophius vomerinus,,South Africa Fisheries Research and Development (2018) CPUE data. Pers. comm.,1970,2018,1987,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.29,0.66,0.1,0.4,NA,NA,NA,0.1,0.5,CPUE,NA,F,Data only from 1970. Set intermediate biomass to 0.01-0.4 end biomas to 0.2-0.6 based on BSM results. Bpa=PUCL. RF OK,
North America,ICCAT,"Northern Gulf of Mexico, Floridian, Carolinian and Virginian",Lutj_ana_USAtlantic,Medium reef assoc. fish (30 - 89 cm),"Mutton snapper in Northern Gulf of Mexico, Floridian, Carolinian and Virginian",Lutjanus analis,,"O�Hop, J., et al. (2015) Stock Assessment of Mutton Snapper (Lutjanus analis) of the U.S. South Atlantic and Gulf of Mexico through 2013. SEDAR, North Charleston SC. 144 p.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.29,0.71,0.7,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,F,"biomass, industrial, left windows to what software chose, needs review, , ADD E.CREEP? Duplicate of Stock SMART, although here with a few more years of data. Check and decide which one to keep. RF OK",
Oceania,CCSBT; IOTC; WCPFC,"Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Lutj_mal_ArnhemBonaparteExmouth,Medium reef assoc. fish (30 - 89 cm),"Malabar blood snapper in Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Lutjanus malabaricus,,"Martin, J.M. (2013) Stock Assessment of Saddletail Snapper (Lutjanus malabaricus) in the Northern Territory Demersal and Timor Reef Fisheries. Unpublished report, DPIF.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.16,0.49,0.8,1,NA,NA,NA,0.1,0.5,CPUE,2,F,Changed resilience priors to NA. Check catch rise in 1990. Disaggregation or fishery start late? CPUE highly recommended. Set interbio to CPUE point with lowest residuals: 2010 at 0.5-0.9. RF OK,
Australia,Indo-Pacific,Australia,mac_nov,medium_benthopelagic,Blue_grenadier,Macruronus novaezelandie,,FishBase,1979,2017,1986,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.2,0.49,0.4,0.6,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,Int prior of 0.77 in 2012 but no ranges. B/B0 assessed as 1.22 in 2018. RF OK,
Europe,Northern Europe,NA,mac.27.nea,NA,Mackerel (Scomber scombrus) in subareas 1-8 and 14 and Division 9.a (the Northeast Atlantic and adjacent waters),Scomber scombrus,,https://standardgraphs.ices.dk/stockList.aspx,1980,2020,1980,2019,0.46,0.36,2000000,2580000,NA,2580000,0.26,NA,Medium,0.307664,0.754824,0.45,0.55,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,F-age: 4-8 ; type of abundance: SSB. RF OK,
Oceania,CCSBT; WCPFC,"Northeastern New Zealand, Central New Zealand and Chatham Island",Macr_nov_NNewZealand,Large demersals (>=90 cm),"Blue grenadier in Northeastern New Zealand, Central New Zealand and Chatham Island",Macruronus novaezelandiae,,"Coombs, R.F., and Cordue, P.L. (1995) Evolution of a stock assessment tool: Acoustic surveys of spawning hoki (Macruronus novaeelandiae) off the west coast of South Island, New Zealand, 1985-91. Journal of Marine and Freshwater Research 29(2):175-194.",1953,2018,1953,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.2,0.49,0.8,1,NA,NA,NA,0.1,0.5,CPUE,NA,F,"https://www.fishsource.org/stock_page/1763. Combine catch from Central New Zealand, Northeastern New Zealand and Chatham Island. RF OK",
,IOTC,NA,Maka_ind_Indian,,Black Marlin,Makaira indica,,https://www.iotc.org/node/3379,1950,2014,1971,2012,NA,NA,NA,NA,NA,NA,0.18,NA,Medium,NA,NA,0.85,0.95,NA,NA,NA,0.03,0.25,CPUE,NA,F,RF OK,
,IOTC,NA,Maka_nig_Indian,,Blue Marlin,Makaira nigricans,,https://www.iotc.org/node/3379,1950,2017,1971,2014,NA,NA,NA,NA,NA,NA,0.11,NA,Medium,NA,NA,0.8,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,F,RF OK,
,WCPFC; IATTC,NA,Maka_nig_Pacific,,Blue marlin,Makaira nigricans,,https://www.wcpfc.int/doc/11/pacific-blue-marlin,1950,2019,1971,2014,NA,NA,NA,NA,NA,NA,0.32,NA,Medium,NA,NA,0.4,0.55,NA,NA,NA,0.1,0.5,CPUE,NA,F,SSBMSY used as a proxy for BMSY. RF OK,
North America,NAFO; NASCO; ICCAT,Gulf of St. Lawrence - Eastern Scotian Shelf,Mall_vil_StLawrence,Small pelagics (<30 cm),Capelin in Gulf of St. Lawrence - Eastern Scotian Shelf,Mallotus villosus,,DFO (2011) Capelin (Mallotus villosus) in the Estuary and Gulf of St. Lawrence (NAFO Divisions 4RST) in 2010. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/023. vi + 116 p.,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.27,0.62,0.5,0.9,NA,NA,NA,0.04,0.3,CPUE,NA,F,"CPUE not the best fit but residuals good, keep. RF OK",
Asia,WCPFC,East China Sea,Mars_jap_EChinaSea,Shrimps,Kuruma prawn in East China Sea,Marsupenaeus japonicus,,"Hamasaki, K, and Kitada, S. (2013) Catch fluctuation of Kuruma prawn, Penaeus japonicus in Japan relative to ocean climate variability and a stock enhancement program. Reviews in Fisheries Science 21(3-4):454-468.",1950,2018,1965,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.01,0.4,NA,NA,NA,0.04,0.3,CPUE,NA,F,resilience assumed from vulnerability. RF OK,
Asia,WCPFC,Southern China,Mars_jap_SChina,Shrimps,Kuruma prawn in Southern China,Marsupenaeus japonicus,,"Tzeng, T.D. (1998) Stock structure and assessment of Kuruma shrimp (Penaeus japonicus) from the East China Sea and the Taiwan Strait. Ph.D. Thesis. National Taiwan University, Taiwan.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.8,1,NA,NA,NA,0.04,0.3,CPUE,NA,F,"resilience assumed from vulnerability. CPUE not the best fit but residuals good, keep. Set interbio to point with lowest residuals to 1975 at 0.4-0.8. RF OK",
Europe,Northern Europe,NA,meg.27.7b-k8abd,NA,Megrim (Lepidorhombus whiffiagonis) in divisions 7.b-k. 8.a-b. and 8.d (west and southwest of Ireland. Bay of Biscay),Lepidorhombus whiffiagonis,,https://standardgraphs.ices.dk/stockList.aspx,1984,2020,1984,2015,0.53,0.45,37000,41800,NA,41800,0.191,NA,Medium,0.334856,0.761036,0.6,0.8,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,F-age: 3-6 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,meg.27.8c9a,NA,Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),Lepidorhombus whiffiagonis,,https://standardgraphs.ices.dk/stockList.aspx,1986,2020,1986,2015,0.45,0.32,700,980,NA,980,0.191,NA,Medium,0.334856,0.761036,0.45,0.55,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: SSB,
North America,NAFO; NASCO; ICCAT,Southern Grand Banks - South Newfoundland,Mela_aeg_SGrandBanks,Medium demersals (30 - 89 cm),Haddock in Southern Grand Banks - South Newfoundland,Melanogrammus aeglefinus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1960,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.33,0.74,0.2,0.6,NA,NA,NA,0.02,0.2,biomass,NA,F,RF OK,
North America,NAFO; NASCO; ICCAT,Gulf of St. Lawrence - Eastern Scotian Shelf,Mela_aeg_StLawrence,Medium demersals (30 - 89 cm),Haddock in Gulf of St. Lawrence - Eastern Scotian Shelf,Melanogrammus aeglefinus,,Hurley (2009) Assessment of the status of Divisions 4X5Y haddock in 2005. DFO Can. Sci. Advis. Sec. Res. Doc. 2009/024. vi + 86 p.,1950,2018,1960,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.33,0.74,0.2,0.6,NA,NA,NA,0.01,0.3,CPUE,NA,F,RF OK,
Oceania,CCSBT; IOTC; WCPFC,"Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Meli_lat_ArnhemBonaparteExmouth,Shrimps,"Western king prawn in Arnhem Coast to Gulf of Carpenteria, Bonaparte Coast and Exmouth to Broome",Melicertus latisulcatus,,"Fletcher, W.J., and Santoro, K. (2012) Status Reports of the Fisheries and Aquatic Resources of Western Australia 2011/12: The State of the Fisheries. Department of Fisheries, Western Australia.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.6,1,NA,NA,NA,0.01,0.4,CPUE,2,F,Assumed high resilience to generate r-k pairs. Check interpolation catch prior to 1970s. CPUE recommended. Removed endbio limits. RF OK,
